4|5|1|5|8|4|9|9|5|7|0|6|6|7|9|0|310|236|280|162|3|79|-1|-1|2|191|185|26|531|665|-1|317|
9|6|3|5|8|4|9|9|5|7|0|6|6|7|9|0|-1|624|4|162|3|79|-1|-1|2|191|185|26|531|665|-1|317|
4|8|1|4|8|5|8|4|9|1|5|4|3|9|2|8|310|1|280|104|3|4|0|101|-1|99|229|288|289|-1|91|3|
4|6|9|5|8|5|8|4|5|4|9|9|0|8|2|8|310|710|-1|162|3|4|2|5|132|52|-1|-1|161|2|91|3|
8|1|1|9|8|5|8|8|4|4|4|0|4|5|2|8|2|287|119|-1|3|4|0|3|51|52|257|352|124|149|91|3|
3|5|9|5|8|9|0|9|5|4|9|4|4|7|6|0|228|236|-1|162|3|-1|12|-1|132|52|-1|8|282|29|532|106|
9|5|9|9|8|1|8|4|5|4|4|4|6|5|0|0|-1|236|-1|-1|3|243|0|101|2|261|112|259|531|155|354|32|
6|5|4|2|8|4|8|4|5|8|9|9|9|1|1|0|503|236|145|41|3|79|0|101|2|0|-1|-1|-1|78|88|317|
4|5|9|9|8|5|8|4|9|3|9|4|6|4|5|6|310|236|-1|-1|3|4|0|126|-1|291|-1|8|531|322|153|40|
1|5|5|5|1|9|9|9|5|8|5|1|2|5|0|1|148|236|328|162|127|-1|-1|-1|2|0|302|190|94|155|115|123|
4|5|1|1|8|5|8|4|5|4|4|4|6|7|2|8|310|236|280|135|3|4|2|5|132|261|112|259|531|401|91|3|
3|5|5|5|8|5|8|9|5|9|5|6|5|6|2|8|143|236|75|162|3|4|0|-1|132|-1|302|26|128|137|91|3|
1|5|5|5|4|9|0|4|5|8|4|6|4|3|1|0|148|236|328|162|195|-1|12|101|318|0|257|26|124|181|287|32|
9|2|9|5|8|5|0|4|1|8|4|9|9|8|7|5|-1|271|-1|162|3|4|354|101|195|0|257|-1|-1|2|286|187|
4|4|9|5|8|9|8|4|9|0|0|9|8|1|6|7|310|315|-1|162|3|-1|0|101|-1|196|113|-1|3|276|207|17|
9|5|2|5|8|5|8|9|5|4|9|4|2|7|2|3|-1|236|134|162|3|4|0|-1|318|52|-1|8|6|665|91|239|
9|5|1|5|8|4|9|9|5|8|9|4|2|5|5|6|-1|236|280|162|3|79|-1|-1|2|0|-1|8|94|149|153|40|
8|5|5|5|8|1|9|4|5|4|4|9|4|7|6|0|2|236|2|162|3|342|-1|101|318|52|112|-1|282|29|532|106|
4|5|9|5|8|5|1|4|5|4|9|6|5|4|5|6|310|236|-1|162|3|4|176|101|132|52|-1|26|128|277|153|40|
9|1|5|0|5|2|8|5|5|0|9|4|4|6|1|5|-1|93|328|297|319|35|0|174|2|196|-1|8|124|137|327|187|
9|5|9|5|8|5|8|9|2|4|4|4|2|7|6|0|-1|236|-1|162|3|4|2|-1|78|52|112|30|94|665|532|106|
9|5|9|5|5|9|9|9|5|8|0|5|6|7|5|5|-1|236|-1|162|336|-1|-1|-1|132|0|76|24|531|665|134|187|
9|5|8|5|8|5|8|4|0|7|4|4|2|7|9|1|-1|236|3|162|3|4|2|5|131|571|112|30|94|665|-1|123|
4|5|1|1|8|4|8|4|9|9|4|4|2|7|2|8|310|236|280|135|3|180|2|5|-1|-1|112|30|94|665|91|3|
8|5|5|5|8|4|1|3|5|8|4|4|6|5|0|1|2|236|75|162|3|79|20|347|2|0|112|259|531|155|115|123|
9|5|5|4|8|7|9|4|5|0|4|9|6|9|4|1|-1|236|283|210|3|120|-1|58|2|196|112|-1|531|-1|134|2|
0|5|5|5|1|9|8|4|8|8|4|9|6|7|2|7|332|236|294|162|127|-1|0|101|0|0|112|-1|531|29|91|221|
4|9|0|5|8|5|8|4|5|0|4|4|4|3|1|0|310|-1|293|162|3|4|0|101|2|196|112|8|124|181|287|32|
