3|4|5|5|0|5|8|4|5|3|7|6|-145|172|259|132|-226|-36|1|10|-198|309|122|-706|
1|7|3|9|6|9|7|9|5|3|6|7|-216|-602|64|-1|786|-1|358|-1|178|56|-2|105|
7|3|4|1|4|9|7|6|1|1|3|7|-688|-299|-198|117|185|-1|46|-443|-212|53|172|289|
8|9|5|8|5|7|6|9|4|6|7|3|0|-1|-249|2|-23|-53|-361|-1|-260|-752|83|107|
5|7|2|9|1|5|9|2|5|5|5|3|52|-637|343|-1|168|177|-1|-356|-270|254|95|-235|
6|0|0|8|8|8|0|4|8|3|5|5|-61|45|-133|0|3|1|-330|355|1|-7|216|37|
6|1|7|1|6|9|1|3|0|1|7|0|460|184|556|-220|787|-1|-188|174|348|-281|-584|-349|
1|0|5|0|0|5|9|3|5|0|4|9|298|268|275|273|-53|-360|-1|-250|306|240|-97|-1|
5|4|6|2|2|4|2|7|0|4|0|2|-293|-273|-256|-228|228|242|-140|358|123|261|-277|-238|
7|7|6|6|5|1|3|4|8|8|4|1|116|553|-110|729|271|125|-10|-276|1|1|259|223|
6|1|6|4|9|0|9|2|4|8|8|2|-746|151|-319|320|-1|349|-1|-69|172|0|1|176|
6|3|4|4|2|9|3|4|7|0|5|5|-788|168|-87|169|-83|-1|174|127|-674|-218|325|292|
3|8|4|3|7|0|6|4|3|9|8|0|112|3|199|210|280|188|61|194|-62|-1|0|-172|
3|4|8|6|0|4|8|4|0|3|2|9|315|-263|0|698|174|-215|3|-161|134|-268|-15|-1|
6|8|3|1|6|0|1|7|8|6|1|4|-560|1|-308|-24|460|-58|-159|-83|0|37|328|243|
4|7|0|5|8|0|2|6|5|6|3|0|200|-644|90|142|2|-236|-307|-467|-250|757|111|-224|
1|2|0|4|7|8|7|6|8|4|6|0|-231|61|-252|-350|761|3|-8|-508|3|222|401|168|
2|6|9|0|9|4|9|5|9|9|1|9|-235|-456|-1|183|-1|67|-1|4|-1|-1|267|-1|
9|5|3|1|2|3|2|5|8|1|1|3|-1|-38|-338|-288|179|-64|132|-133|1|-294|-20|-340|
1|8|0|5|0|3|4|9|0|9|2|1|13|1|-158|152|-200|237|205|-1|-124|-1|161|89|
2|1|8|4|7|4|2|3|2|7|6|9|-90|52|1|-115|334|294|118|-124|336|800|-569|-1|
4|8|8|4|5|9|3|9|5|3|4|9|86|0|3|303|-318|-1|78|-1|323|-193|202|-1|
9|6|5|4|3|6|0|2|1|3|0|6|-1|661|-114|226|11|580|-240|-24|-25|66|203|191|
3|0|2|0|3|5|4|7|5|2|2|4|-146|-186|257|-241|265|111|145|-68|121|-315|17|-177|
9|2|9|2|6|1|7|6|5|6|5|3|-1|274|-1|-237|-318|78|755|-19|224|-567|-126|20|
6|5|7|0|6|7|0|0|8|7|5|5|-537|124|-157|276|-641|-724|-216|228|0|-693|72|-206|
4|9|7|5|4|1|9|8|4|7|3|3|-343|-1|328|-349|164|-256|-1|0|-175|-560|-134|310|
9|2|2|0|7|7|7|6|6|1|3|4|-1|-201|-110|-179|-141|776|200|82|602|-274|268|-242|
3|3|6|4|3|0|4|6|0|1|9|6|74|-41|-146|229|11|-258|-233|-680|90|-290|-1|-208|
5|2|7|7|6|7|1|8|7|5|1|2|337|-5|510|-213|-48|-171|110|2|-547|305|163|-142|
6|3|6|7|3|9|0|1|8|4|7|5|788|-331|26|553|70|-1|4|101|3|350|566|-187|
6|8|2|4|1|9|8|5|9|6|1|8|370|1|-11|223|329|-1|2|-266|-1|662|-41|3|
6|4|1|3|6|6|3|0|1|7|4|3|-677|-275|-27|27|-134|-6|231|40|208|263|-215|-113|
