9|5|1|5|8|8|0|9|7|8|9|8|2|7|3|1|-1|93|121|162|3|3|108|-1|7|0|-1|3|147|457|6|123|
9|5|1|5|2|9|8|9|5|8|9|8|2|7|3|1|-1|93|117|162|162|-1|0|-1|2|0|-1|3|147|457|6|123|
9|5|1|5|8|8|0|9|7|8|9|8|6|0|3|4|-1|93|121|162|3|3|108|-1|7|0|-1|3|636|335|282|212|
3|5|1|5|8|0|0|9|5|8|9|8|8|6|2|4|110|93|280|162|3|318|12|-1|2|0|-1|3|2|227|17|90|
9|5|1|5|8|8|0|9|5|9|9|8|2|8|5|0|-1|93|121|162|3|3|108|-1|2|-1|-1|3|260|2|129|319|
5|5|3|5|0|1|0|9|5|8|9|8|9|4|6|6|153|93|238|162|37|245|139|-1|2|0|-1|3|-1|44|627|414|
7|5|9|5|8|4|0|9|5|8|9|0|5|9|5|4|0|236|-1|162|3|79|108|-1|2|0|-1|275|239|-1|96|144|
9|5|1|5|8|4|0|9|0|8|9|9|7|9|3|9|-1|93|117|162|3|79|12|-1|360|0|-1|-1|514|-1|282|-1|
9|9|1|5|4|5|0|9|5|3|9|8|7|4|1|2|-1|-1|121|162|309|273|12|-1|2|108|-1|3|237|200|203|200|
9|2|9|5|8|8|0|9|5|0|9|8|9|9|0|0|-1|248|-1|162|3|3|139|-1|2|15|-1|3|-1|-1|115|319|
5|5|9|5|8|9|0|8|5|8|9|8|9|9|4|4|237|236|-1|162|3|-1|12|2|2|0|-1|3|-1|-1|346|144|
9|5|1|5|4|5|0|5|5|9|5|8|6|0|3|0|-1|93|280|162|309|130|108|342|2|-1|20|3|636|335|297|319|
9|1|1|5|8|9|0|9|0|8|9|8|5|9|3|4|-1|328|117|162|3|-1|108|-1|360|0|-1|3|25|-1|282|90|
9|2|2|5|8|3|0|9|2|8|5|8|2|4|5|0|-1|284|239|162|3|355|12|-1|18|0|20|3|260|200|129|319|
8|5|1|5|8|9|8|9|2|8|5|8|8|4|5|7|0|93|121|162|3|-1|0|-1|18|0|20|3|2|44|274|221|
2|5|1|5|8|0|0|2|5|8|9|8|8|4|6|6|242|93|280|162|3|318|108|229|2|0|-1|3|2|44|627|414|
9|5|9|5|8|1|0|9|5|8|9|8|6|4|3|4|-1|236|-1|162|3|138|12|-1|2|0|-1|3|636|44|282|90|
