0|8|2|5|4|0|6|2|7|8|6|8|186|1|161|245|126|57|502|142|345|3|411|3
1|3|5|0|1|6|8|6|8|8|7|0|255|260|120|75|43|108|0|543|3|1|164|230
0|7|8|8|5|7|9|0|1|2|5|3|4|347|1|3|113|384|-1|276|182|45|285|74
0|4|8|8|8|6|4|7|8|2|2|3|268|103|2|2|1|573|287|428|3|158|22|328
7|9|5|9|7|8|3|1|0|1|2|9|491|-1|292|-1|324|2|39|245|118|337|301|-1
5|1|0|1|9|3|9|8|8|9|1|4|59|289|278|199|-1|158|-1|2|2|-1|330|29
5|3|6|3|0|5|3|2|3|8|4|9|172|258|644|283|260|316|292|90|97|3|56|-1
8|1|0|7|1|4|0|2|8|2|8|6|0|168|31|631|345|145|184|165|1|278|1|51
9|4|4|4|4|1|2|5|9|9|6|3|-1|103|130|354|40|14|210|345|-1|-1|768|317
8|9|4|6|3|2|3|1|5|4|3|4|2|-1|326|405|164|106|336|5|233|89|334|183
6|6|7|3|7|4|7|5|0|5|7|4|483|458|138|72|307|184|599|12|271|215|382|114
4|2|6|0|5|2|5|8|4|7|9|9|94|348|747|209|27|332|185|0|91|667|-1|-1
1|8|6|2|8|8|3|1|5|3|8|3|129|0|751|345|1|1|298|126|146|157|0|189
1|0|0|2|2|9|9|1|8|2|7|1|238|57|60|165|47|-1|-1|95|0|15|739|142
8|1|5|4|6|0|8|8|4|0|0|6|3|280|62|157|475|169|2|0|0|210|327|603
2|7|6|7|2|4|5|9|1|8|8|0|278|610|280|597|280|153|156|-1|64|0|0|252
3|7|4|2|9|6|1|3|2|5|7|6|100|75|6|128|-1|443|71|336|240|321|91|57
6|0|6|6|9|3|1|3|9|4|8|9|386|1|564|668|-1|153|281|14|-1|14|2|-1
2|7|1|9|5|4|3|9|4|7|3|7|237|738|274|-1|231|184|217|-1|216|13|267|318
9|5|5|9|6|8|0|5|5|9|4|6|-1|107|272|-1|77|1|353|15|279|-1|8|577
6|5|8|8|2|8|3|0|0|2|1|7|200|125|0|3|75|2|32|145|154|104|77|386
0|0|6|5|6|0|1|0|9|5|2|4|74|289|163|308|646|93|260|319|-1|180|35|233
8|8|0|2|6|8|1|6|5|2|2|4|0|1|72|354|184|2|315|36|254|285|68|171
4|8|5|2|2|3|5|1|5|8|8|0|126|3|112|80|257|234|64|76|128|0|1|163
4|0|2|2|7|9|2|8|9|2|9|8|70|89|271|132|90|-1|180|1|-1|325|-1|0
7|2|4|7|8|3|1|7|9|7|7|9|333|164|125|107|2|75|258|296|-1|580|84|-1
2|2|0|4|2|4|8|2|7|7|3|8|262|344|174|300|46|86|0|2|284|615|112|0
2|8|3|9|1|3|3|3|4|2|2|3|155|1|175|-1|16|99|239|237|18|298|81|288
6|7|0|0|4|8|7|1|6|7|4|9|355|586|360|266|246|1|130|346|527|108|37|-1
1|6|9|7|8|9|8|2|4|7|9|8|314|570|-1|410|0|-1|0|38|249|672|-1|2
0|5|7|4|7|9|5|6|6|5|9|0|181|48|727|55|186|-1|93|405|639|148|-1|215
6|9|8|5|0|2|3|9|5|2|6|7|731|-1|3|184|115|329|250|-1|360|191|707|393
2|4|7|0|1|5|5|4|8|1|8|0|1|230|24|32|195|158|306|238|3|38|3|191
6|4|5|1|0|6|3|3|4|1|5|6|455|320|285|201|111|319|11|303|336|84|280|102
0|1|1|8|6|6|2|1|8|2|8|9|248|315|66|1|572|23|151|64|0|11|0|-1
4|2|0|2|0|4|5|9|2|2|9|2|227|77|62|90|290|231|155|-1|201|186|-1|307
6|3|9|5|2|6|7|3|5|1|2|6|648|278|-1|324|84|553|577|156|81|244|113|189
3|8|2|2|8|6|6|9|2|3|5|9|54|2|228|129|1|448|554|-1|291|48|141|-1
0|8|1|4|7|0|2|4|8|5|0|5|349|1|200|68|121|8|337|288|3|154|234|21
1|2|3|2|0|6|3|6|3|0|4|5|334|324|138|274|256|526|239|610|99|59|17|220
0|8|8|4|6|4|1|8|3|6|7|2|87|2|0|332|288|89|52|0|256|77|6|217
2|5|4|1|4|6|8|6|9|2|9|5|298|174|230|223|331|228|3|764|-1|227|-1|349
9|1|6|3|5|0|5|2|4|5|4|5|-1|210|141|296|339|123|349|53|136|274|219|84
1|1|7|9|9|2|0|5|7|8|3|6|123|181|472|-1|-1|298|175|76|671|0|103|385
2|4|4|5|1|0|1|4|3|6|1|2|194|100|172|235|288|297|311|359|84|354|348|286
1|1|2|6|9|8|2|4|3|0|6|7|335|114|294|1|-1|2|37|254|193|64|7|35
6|1|6|2|9|6|9|1|6|9|5|7|271|139|251|299|-1|550|-1|77|365|-1|135|614
2|8|8|4|2|8|7|0|1|8|0|8|189|1|2|2|162|3|418|125|39|1|339|3
4|0|9|3|9|5|4|8|5|9|7|9|97|244|-1|305|-1|13|302|3|177|-1|106|-1
3|6|8|2|4|2|1|2|3|3|7|2|214|120|0|348|320|101|43|139|148|341|244|11
9|9|2|9|8|5|2|3|4|6|9|8|-1|-1|244|-1|3|102|111|102|352|601|-1|2
8|9|6|7|6|0|7|4|6|1|5|2|1|-1|696|537|208|181|255|223|389|130|309|21
8|9|0|1|2|5|9|9|8|9|8|0|1|-1|327|7|208|99|-1|-1|0|-1|3|170
2|3|9|7|8|2|9|5|7|0|8|2|115|216|-1|2|0|261|-1|209|668|145|2|233
2|8|7|4|0|4|8|3|6|3|3|9|315|1|728|127|95|60|0|330|619|161|173|-1
1|3|8|0|0|0|7|9|8|2|1|9|176|14|0|273|265|45|112|-1|2|124|264|-1
4|8|3|6|0|9|3|0|5|2|9|2|205|2|153|738|33|-1|159|60|179|266|-1|246
2|3|9|9|8|1|1|1|5|3|3|2|190|2|-1|-1|3|9|293|313|43|336|34|81
